"name","region","sub_region_1","sub_region_2","date","measure","fraction","value","value_daily","value_7_day_rolling_avg","value_7_day_rolling_avg_daily"
"wastewater_copies_per_ml","AB","Edmonton","Edmonton Goldbar","2022-03-24","covN2","solid",28.77731,1.77394,27.89034,9.245125
"wastewater_copies_per_ml","AB","Edmonton","Edmonton Goldbar","2022-03-27","covN2","solid",128.07027,99.29296,78.42379,50.53345
"wastewater_copies_per_ml","AB","Edmonton","Edmonton Goldbar","2022-03-31","covN2","solid",20.64335,-107.42692,74.35681,-4.06698
"wastewater_copies_per_ml","AB","Edmonton","Edmonton Goldbar","2022-04-03","covN2","solid",104.491625,83.848275,62.5674875,-11.7893225
"wastewater_copies_per_ml","AB","Edmonton","Edmonton Goldbar","2022-04-07","covN2","solid",122.00752,17.515895,113.2495725,50.682085
"wastewater_copies_per_ml","AB","Edmonton","Edmonton Goldbar","2022-04-10","covN2","solid",294.145765,172.138245,208.0766425,94.82707
"wastewater_copies_per_ml","AB","Edmonton","Edmonton Goldbar","2022-04-14","covN2","solid",209.0241,-85.121665,251.5849325,43.50829
"wastewater_copies_per_ml","AB","Edmonton","Edmonton Goldbar","2022-04-17","covN2","solid",151.48073,-57.54337,180.252415,-71.3325175
"wastewater_copies_per_ml","AB","Edmonton","Edmonton Goldbar","2022-04-21","covN2","solid",55.701625,-95.779105,103.5911775,-76.6612375
"wastewater_copies_per_ml","AB","Edmonton","Edmonton Goldbar","2022-04-24","covN2","solid",376.955805,321.25418,216.328715,112.7375375
"wastewater_copies_per_ml","AB","Edmonton","Edmonton Goldbar","2022-04-28","covN2","solid",140.39966,-236.556145,258.6777325,42.3490175
"wastewater_copies_per_ml","AB","Edmonton","Edmonton Goldbar","2022-04-30","covN2","solid",222.165845,81.766185,246.507103333333,-12.170629166667
"wastewater_copies_per_ml","AB","Edmonton","Edmonton Goldbar","2022-05-03","covN2","solid",130.550445,-91.6154,164.371983333333,-82.13512
"wastewater_copies_per_ml","AB","Edmonton","Edmonton Goldbar","2022-05-05","covN2","solid",31.665075,-98.88537,128.127121666667,-36.244861666666
"wastewater_copies_per_ml","AB","Edmonton","Edmonton Goldbar","2022-05-10","covN2","solid",112.727075,81.062,72.196075,-55.931046666667
"wastewater_copies_per_ml","AB","Edmonton","Edmonton Goldbar","2022-05-12","covN2","solid",142.16332,29.436245,127.4451975,55.2491225
"wastewater_copies_per_ml","AB","Edmonton","Edmonton Goldbar","2022-05-15","covN2","solid",178.16033,35.99701,144.350241666667,16.905044166667
"wastewater_copies_per_ml","AB","Edmonton","Edmonton Goldbar","2022-05-19","covN2","solid",72.489275,-105.671055,125.3248025,-19.025439166667
"wastewater_copies_per_ml","AB","Edmonton","Edmonton Goldbar","2022-05-22","covN2","solid",306.44113,233.951855,189.4652025,64.1404
"wastewater_copies_per_ml","AB","Edmonton","Edmonton Goldbar","2022-05-26","covN2","solid",107.6023,-198.83883,207.021715,17.5565125
"wastewater_copies_per_ml","AB","Edmonton","Edmonton Goldbar","2022-05-29","covN2","solid",138.523675,30.921375,123.0629875,-83.9587275
"wastewater_copies_per_ml","AB","Edmonton","Edmonton Goldbar","2022-06-02","covN2","solid",103.5082,-35.015475,121.0159375,-2.04705
"wastewater_copies_per_ml","AB","Edmonton","Edmonton Goldbar","2022-06-05","covN2","solid",139.65188,36.14368,121.58004,0.56410249999999
"wastewater_copies_per_ml","AB","Edmonton","Edmonton Goldbar","2022-06-09","covN2","solid",19.126125,-120.525755,79.3890025,-42.1910375
"wastewater_copies_per_ml","AB","Edmonton","Edmonton Goldbar","2022-06-12","covN2","solid",21.31395,2.187825,20.2200375,-59.168965
"wastewater_copies_per_ml","AB","Edmonton","Edmonton Goldbar","2022-06-16","covN2","solid",21.440655,0.126705000000001,21.3773025,1.157265
"wastewater_copies_per_ml","AB","Edmonton","Edmonton Goldbar","2022-06-19","covN2","solid",25.501575,4.06092,23.471115,2.0938125
"wastewater_copies_per_ml","AB","Edmonton","Edmonton Goldbar","2022-06-23","covN2","solid",4.53116,-20.970415,15.0163675,-8.4547475
"wastewater_copies_per_ml","AB","Edmonton","Edmonton Goldbar","2022-06-26","covN2","solid",11.033715,6.502555,7.7824375,-7.23393
"wastewater_copies_per_ml","AB","Edmonton","Edmonton Goldbar","2022-06-30","covN2","solid",68.796685,57.76297,39.9152,32.1327625
"wastewater_copies_per_ml","AB","Edmonton","Edmonton Goldbar","2022-07-03","covN2","solid",30.95189,-37.844795,49.8742875,9.9590875
"wastewater_copies_per_ml","AB","Edmonton","Edmonton Goldbar","2022-07-07","covN2","solid",70.182145,39.230255,50.5670175,0.692729999999997
"wastewater_copies_per_ml","AB","Edmonton","Edmonton Goldbar","2022-07-10","covN2","solid",107.594935,37.41279,88.88854,38.3215225
"wastewater_copies_per_ml","AB","Edmonton","Edmonton Goldbar","2022-07-14","covN2","solid",94.02379,-13.571145,100.8093625,11.9208225
"wastewater_copies_per_ml","AB","Edmonton","Edmonton Goldbar","2022-07-17","covN2","solid",84.04186,-9.98193000000001,89.032825,-11.7765375
"wastewater_copies_per_ml","AB","Edmonton","Edmonton Goldbar","2022-07-21","covN2","solid",43.702405,-40.339455,63.8721325,-25.1606925
