"date","source","date_start","date_end","region","sub_region_1","active_hospitalizations","active_icu","notes"
"2020-09-13",,"2020-09-13","2020-09-13","BC",,,,
"2020-09-14",,"2020-09-14","2020-09-14","BC",,,,
"2020-09-15",,"2020-09-15","2020-09-15","BC",,,,
"2020-09-16",,"2020-09-16","2020-09-16","BC",,,,
"2020-09-17",,"2020-09-17","2020-09-17","BC",,,,
"2020-09-18",,"2020-09-18","2020-09-18","BC",,,,
"2020-09-19",,"2020-09-19","2020-09-19","BC",,,,
"2020-09-20",,"2020-09-20","2020-09-20","BC",,,,
"2020-09-21",,"2020-09-21","2020-09-21","BC",,,,
"2020-09-22",,"2020-09-22","2020-09-22","BC",,,,
"2020-09-23",,"2020-09-23","2020-09-23","BC",,,,
"2020-09-24",,"2020-09-24","2020-09-24","BC",,,,
"2020-09-25",,"2020-09-25","2020-09-25","BC",,,,
"2020-09-26",,"2020-09-26","2020-09-26","BC",,,,
"2020-09-27",,"2020-09-27","2020-09-27","BC",,,,
"2020-09-28",,"2020-09-28","2020-09-28","BC",,,,
"2020-09-29",,"2020-09-29","2020-09-29","BC",,,,
"2020-09-30",,"2020-09-30","2020-09-30","BC",,,,
"2020-10-01",,"2020-10-01","2020-10-01","BC",,,,
"2020-10-02",,"2020-10-02","2020-10-02","BC",,,,
"2020-10-03",,"2020-10-03","2020-10-03","BC",,,,
"2020-10-04",,"2020-10-04","2020-10-04","BC",,,,
"2020-10-05",,"2020-10-05","2020-10-05","BC",,,,
"2020-10-06",,"2020-10-06","2020-10-06","BC",,,,
"2020-10-07",,"2020-10-07","2020-10-07","BC",,,,
"2020-10-08",,"2020-10-08","2020-10-08","BC",,,,
"2020-10-09",,"2020-10-09","2020-10-09","BC",,,,
"2020-10-10",,"2020-10-10","2020-10-10","BC",,,,
"2020-10-11",,"2020-10-11","2020-10-11","BC",,,,
"2020-10-12",,"2020-10-12","2020-10-12","BC",,,,
"2020-10-13",,"2020-10-13","2020-10-13","BC",,,,
"2020-10-14",,"2020-10-14","2020-10-14","BC",,,,
"2020-10-15",,"2020-10-15","2020-10-15","BC",,,,
"2020-10-16",,"2020-10-16","2020-10-16","BC",,,,
"2020-10-17",,"2020-10-17","2020-10-17","BC",,,,
"2020-10-18",,"2020-10-18","2020-10-18","BC",,,,
"2020-10-19",,"2020-10-19","2020-10-19","BC",,,,
"2020-10-20",,"2020-10-20","2020-10-20","BC",,,,
"2020-10-21",,"2020-10-21","2020-10-21","BC",,,,
"2020-10-22",,"2020-10-22","2020-10-22","BC",,,,
"2020-10-23",,"2020-10-23","2020-10-23","BC",,,,
"2020-10-24",,"2020-10-24","2020-10-24","BC",,,,
"2020-10-25",,"2020-10-25","2020-10-25","BC",,,,
"2020-10-26",,"2020-10-26","2020-10-26","BC",,,,
"2020-10-27",,"2020-10-27","2020-10-27","BC",,,,
"2020-10-28",,"2020-10-28","2020-10-28","BC",,,,
"2020-10-29",,"2020-10-29","2020-10-29","BC",,,,
"2020-10-30",,"2020-10-30","2020-10-30","BC",,,,
"2020-10-31",,"2020-10-31","2020-10-31","BC",,,,
"2020-11-01",,"2020-11-01","2020-11-01","BC",,,,
"2020-11-02",,"2020-11-02","2020-11-02","BC",,,,
"2020-11-03",,"2020-11-03","2020-11-03","BC",,,,
"2020-11-04",,"2020-11-04","2020-11-04","BC",,,,
"2020-11-05",,"2020-11-05","2020-11-05","BC",,,,
"2020-11-06",,"2020-11-06","2020-11-06","BC",,,,
"2020-11-07",,"2020-11-07","2020-11-07","BC",,,,
"2020-11-08",,"2020-11-08","2020-11-08","BC",,,,
"2020-11-09",,"2020-11-09","2020-11-09","BC",,,,
"2020-11-10",,"2020-11-10","2020-11-10","BC",,,,
"2020-11-11",,"2020-11-11","2020-11-11","BC",,,,
"2020-11-12",,"2020-11-12","2020-11-12","BC",,,,
"2020-11-13",,"2020-11-13","2020-11-13","BC",,,,
"2020-11-14",,"2020-11-14","2020-11-14","BC",,,,
"2020-11-15",,"2020-11-15","2020-11-15","BC",,,,
"2020-11-16",,"2020-11-16","2020-11-16","BC",,,,
"2020-11-17",,"2020-11-17","2020-11-17","BC",,,,
"2020-11-18",,"2020-11-18","2020-11-18","BC",,,,
"2020-11-19",,"2020-11-19","2020-11-19","BC",,,,
"2020-11-20",,"2020-11-20","2020-11-20","BC",,,,
"2020-11-21",,"2020-11-21","2020-11-21","BC",,,,
"2020-11-22",,"2020-11-22","2020-11-22","BC",,,,
"2020-11-23",,"2020-11-23","2020-11-23","BC",,,,
"2020-11-24",,"2020-11-24","2020-11-24","BC",,,,
"2020-11-25",,"2020-11-25","2020-11-25","BC",,,,
"2020-11-26",,"2020-11-26","2020-11-26","BC",,,,
"2020-11-27",,"2020-11-27","2020-11-27","BC",,,,
"2020-11-28",,"2020-11-28","2020-11-28","BC",,,,
"2020-11-29",,"2020-11-29","2020-11-29","BC",,,,
"2020-11-30",,"2020-11-30","2020-11-30","BC",,,,
"2020-12-01",,"2020-12-01","2020-12-01","BC",,,,
"2020-12-02",,"2020-12-02","2020-12-02","BC",,,,
"2020-12-03",,"2020-12-03","2020-12-03","BC",,,,
"2020-12-04",,"2020-12-04","2020-12-04","BC",,,,
"2020-12-05",,"2020-12-05","2020-12-05","BC",,,,
"2020-12-06",,"2020-12-06","2020-12-06","BC",,,,
"2020-12-07",,"2020-12-07","2020-12-07","BC",,,,
"2020-12-08",,"2020-12-08","2020-12-08","BC",,,,
"2020-12-09",,"2020-12-09","2020-12-09","BC",,,,
"2020-12-10",,"2020-12-10","2020-12-10","BC",,,,
"2020-12-11",,"2020-12-11","2020-12-11","BC",,,,
"2020-12-12",,"2020-12-12","2020-12-12","BC",,,,
"2020-12-13",,"2020-12-13","2020-12-13","BC",,,,
"2020-12-14",,"2020-12-14","2020-12-14","BC",,,,
"2020-12-15",,"2020-12-15","2020-12-15","BC",,,,
"2020-12-16",,"2020-12-16","2020-12-16","BC",,,,
"2020-12-17",,"2020-12-17","2020-12-17","BC",,,,
"2020-12-18",,"2020-12-18","2020-12-18","BC",,,,
"2020-12-19",,"2020-12-19","2020-12-19","BC",,,,
"2020-12-20",,"2020-12-20","2020-12-20","BC",,,,
"2020-12-21",,"2020-12-21","2020-12-21","BC",,,,
"2020-12-22",,"2020-12-22","2020-12-22","BC",,,,
"2020-12-23",,"2020-12-23","2020-12-23","BC",,,,
"2020-12-24",,"2020-12-24","2020-12-24","BC",,,,
"2020-12-25",,"2020-12-25","2020-12-25","BC",,,,
"2020-12-26",,"2020-12-26","2020-12-26","BC",,,,
"2020-12-27",,"2020-12-27","2020-12-27","BC",,,,
"2020-12-28",,"2020-12-28","2020-12-28","BC",,,,
"2020-12-29",,"2020-12-29","2020-12-29","BC",,,,
"2020-12-30",,"2020-12-30","2020-12-30","BC",,,,
"2020-12-31",,"2020-12-31","2020-12-31","BC",,,,
"2021-01-01",,"2021-01-01","2021-01-01","BC",,,,
"2021-01-02",,"2021-01-02","2021-01-02","BC",,,,
"2021-01-03",,"2021-01-03","2021-01-03","BC",,,,
"2021-01-04",,"2021-01-04","2021-01-04","BC",,,,
"2021-01-05",,"2021-01-05","2021-01-05","BC",,,,
"2021-01-06",,"2021-01-06","2021-01-06","BC",,,,
"2021-01-07",,"2021-01-07","2021-01-07","BC",,,,
"2021-01-08",,"2021-01-08","2021-01-08","BC",,,,
"2021-01-09",,"2021-01-09","2021-01-09","BC",,,,
"2021-01-10",,"2021-01-10","2021-01-10","BC",,,,
"2021-01-11",,"2021-01-11","2021-01-11","BC",,,,
"2021-01-12",,"2021-01-12","2021-01-12","BC",,,,
"2021-01-13",,"2021-01-13","2021-01-13","BC",,,,
"2021-01-14",,"2021-01-14","2021-01-14","BC",,,,
"2021-01-15",,"2021-01-15","2021-01-15","BC",,,,
"2021-01-16",,"2021-01-16","2021-01-16","BC",,,,
"2021-01-17",,"2021-01-17","2021-01-17","BC",,,,
"2021-01-18",,"2021-01-18","2021-01-18","BC",,,,
"2021-01-19",,"2021-01-19","2021-01-19","BC",,,,
"2021-01-20",,"2021-01-20","2021-01-20","BC",,,,
"2021-01-21",,"2021-01-21","2021-01-21","BC",,,,
"2021-01-22",,"2021-01-22","2021-01-22","BC",,,,
"2021-01-23",,"2021-01-23","2021-01-23","BC",,,,
"2021-01-24",,"2021-01-24","2021-01-24","BC",,,,
"2021-01-25",,"2021-01-25","2021-01-25","BC",,,,
"2021-01-26",,"2021-01-26","2021-01-26","BC",,,,
"2021-01-27",,"2021-01-27","2021-01-27","BC",,,,
"2021-01-28",,"2021-01-28","2021-01-28","BC",,,,
"2021-01-29",,"2021-01-29","2021-01-29","BC",,,,
"2021-01-30",,"2021-01-30","2021-01-30","BC",,,,
"2021-01-31",,"2021-01-31","2021-01-31","BC",,,,
"2021-02-01",,"2021-02-01","2021-02-01","BC",,,,
"2021-02-02",,"2021-02-02","2021-02-02","BC",,,,
"2021-02-03",,"2021-02-03","2021-02-03","BC",,,,
"2021-02-04",,"2021-02-04","2021-02-04","BC",,,,
"2021-02-05",,"2021-02-05","2021-02-05","BC",,,,
"2021-02-06",,"2021-02-06","2021-02-06","BC",,,,
"2021-02-07",,"2021-02-07","2021-02-07","BC",,,,
"2021-02-08",,"2021-02-08","2021-02-08","BC",,,,
"2021-02-09",,"2021-02-09","2021-02-09","BC",,,,
"2021-02-10",,"2021-02-10","2021-02-10","BC",,,,
"2021-02-11",,"2021-02-11","2021-02-11","BC",,,,
"2021-02-12",,"2021-02-12","2021-02-12","BC",,,,
"2021-02-13",,"2021-02-13","2021-02-13","BC",,,,
"2021-02-14",,"2021-02-14","2021-02-14","BC",,,,
"2021-02-15",,"2021-02-15","2021-02-15","BC",,,,
"2021-02-16",,"2021-02-16","2021-02-16","BC",,,,
"2021-02-17",,"2021-02-17","2021-02-17","BC",,,,
"2021-02-18",,"2021-02-18","2021-02-18","BC",,,,
"2021-02-19",,"2021-02-19","2021-02-19","BC",,,,
"2021-02-20",,"2021-02-20","2021-02-20","BC",,,,
"2021-02-21",,"2021-02-21","2021-02-21","BC",,,,
"2021-02-22",,"2021-02-22","2021-02-22","BC",,,,
"2021-02-23",,"2021-02-23","2021-02-23","BC",,,,
"2021-02-24",,"2021-02-24","2021-02-24","BC",,,,
"2021-02-25",,"2021-02-25","2021-02-25","BC",,,,
"2021-02-26",,"2021-02-26","2021-02-26","BC",,,,
"2021-02-27",,"2021-02-27","2021-02-27","BC",,,,
"2021-02-28",,"2021-02-28","2021-02-28","BC",,,,
"2021-03-01",,"2021-03-01","2021-03-01","BC",,,,
"2021-03-02",,"2021-03-02","2021-03-02","BC",,,,
"2021-03-03",,"2021-03-03","2021-03-03","BC",,,,
"2021-03-04",,"2021-03-04","2021-03-04","BC",,,,
"2021-03-05",,"2021-03-05","2021-03-05","BC",,,,
"2021-03-06",,"2021-03-06","2021-03-06","BC",,,,
"2021-03-07",,"2021-03-07","2021-03-07","BC",,,,
"2021-03-08",,"2021-03-08","2021-03-08","BC",,,,
"2021-03-09",,"2021-03-09","2021-03-09","BC",,,,
"2021-03-10",,"2021-03-10","2021-03-10","BC",,,,
"2021-03-11",,"2021-03-11","2021-03-11","BC",,,,
"2021-03-12",,"2021-03-12","2021-03-12","BC",,,,
