"date","source","date_start","date_end","region","sub_region_1","cases","cumulative_deaths","deaths","deaths_current_reporting_period","deaths_previous_reporting_period","active_hospitalizations","new_hospitalizations","active_icu"
"2023-01-05","https://experience.arcgis.com/experience/204d6ed723244dfbb763ca3f913c5cad","2022-12-20","2023-01-02","NS",,1553,694,20,1,19,,76,
"2023-01-05","https://experience.arcgis.com/experience/204d6ed723244dfbb763ca3f913c5cad","2023-01-03","2023-01-03","NS",,,,,,,73,,13
"2023-01-12","https://experience.arcgis.com/experience/204d6ed723244dfbb763ca3f913c5cad","2023-01-03","2023-01-09","NS",,1038,701,7,0,7,,50,
"2023-01-12","https://experience.arcgis.com/experience/204d6ed723244dfbb763ca3f913c5cad","2023-01-10","2023-01-10","NS",,,,,,,36,,7
"2023-01-19","https://experience.arcgis.com/experience/204d6ed723244dfbb763ca3f913c5cad","2023-01-10","2023-01-16","NS",,599,706,5,0,5,,45,
"2023-01-19","https://experience.arcgis.com/experience/204d6ed723244dfbb763ca3f913c5cad","2023-01-17","2023-01-17","NS",,,,,,,44,,11
"2023-01-26","https://experience.arcgis.com/experience/204d6ed723244dfbb763ca3f913c5cad","2023-01-17","2023-01-23","NS",,687,718,12,0,12,,43,
"2023-01-26","https://experience.arcgis.com/experience/204d6ed723244dfbb763ca3f913c5cad","2023-01-24","2023-01-24","NS",,,,,,,40,,7
"2023-02-02","https://experience.arcgis.com/experience/204d6ed723244dfbb763ca3f913c5cad","2023-01-24","2023-01-30","NS",,680,726,8,3,5,,36,
"2023-02-02","https://experience.arcgis.com/experience/204d6ed723244dfbb763ca3f913c5cad","2023-01-31","2023-01-31","NS",,,,,,,41,,4
"2023-02-09","https://experience.arcgis.com/experience/204d6ed723244dfbb763ca3f913c5cad","2023-01-31","2023-02-06","NS",,649,753,27,2,25,,37,
"2023-02-09","https://experience.arcgis.com/experience/204d6ed723244dfbb763ca3f913c5cad","2023-02-07","2023-02-07","NS",,,,,,,32,,5
"2023-02-16","https://experience.arcgis.com/experience/204d6ed723244dfbb763ca3f913c5cad","2023-02-07","2023-02-13","NS",,357,778,25,1,24,,16,
"2023-02-16","https://experience.arcgis.com/experience/204d6ed723244dfbb763ca3f913c5cad","2023-02-14","2023-02-14","NS",,,,,,,33,,4
"2023-02-23","https://experience.arcgis.com/experience/204d6ed723244dfbb763ca3f913c5cad","2023-02-14","2023-02-20","NS",,391,788,10,0,10,,33,
"2023-02-23","https://experience.arcgis.com/experience/204d6ed723244dfbb763ca3f913c5cad","2023-02-21","2023-02-21","NS",,,,,,,39,,7
"2023-03-02","https://experience.arcgis.com/experience/204d6ed723244dfbb763ca3f913c5cad","2023-02-21","2023-02-27","NS",,264,796,8,2,6,,26,
"2023-03-02","https://experience.arcgis.com/experience/204d6ed723244dfbb763ca3f913c5cad","2023-02-28","2023-02-28","NS",,,,,,,31,,5
"2023-03-09","https://experience.arcgis.com/experience/204d6ed723244dfbb763ca3f913c5cad","2023-02-28","2023-03-06","NS",,238,800,4,0,4,,15,
"2023-03-09","https://experience.arcgis.com/experience/204d6ed723244dfbb763ca3f913c5cad","2023-03-07","2023-03-07","NS",,,,,,,25,,4
"2023-03-16","https://experience.arcgis.com/experience/204d6ed723244dfbb763ca3f913c5cad","2023-03-07","2023-03-13","NS",,272,807,7,0,7,,28,
"2023-03-16","https://experience.arcgis.com/experience/204d6ed723244dfbb763ca3f913c5cad","2023-03-14","2023-03-14","NS",,,,,,,26,,1
"2023-03-23","https://experience.arcgis.com/experience/204d6ed723244dfbb763ca3f913c5cad","2023-03-14","2023-03-20","NS",,394,819,12,0,12,,20,
"2023-03-23","https://experience.arcgis.com/experience/204d6ed723244dfbb763ca3f913c5cad","2023-03-21","2023-03-21","NS",,,,,,,21,,1
"2023-03-30","https://experience.arcgis.com/experience/204d6ed723244dfbb763ca3f913c5cad","2023-03-21","2023-03-27","NS",,191,820,1,0,1,,11,
"2023-03-30","https://experience.arcgis.com/experience/204d6ed723244dfbb763ca3f913c5cad","2023-03-28","2023-03-28","NS",,,,,,,26,,3
