"date","region","region_original","hospitalization","icu"
2020-08-31,"MB","MB",6,1
2020-08-31,"PE","PEI",0,0
2020-08-31,"SK","SK",3,1
2020-08-31,"NL","NL",0,0
2020-08-31,"NT","NT",0,0
2020-08-31,"YT","YT",0,0
2020-08-31,"NU","NU",0,0
2020-09-02,"CAN","CAN",247,55
2020-09-02,"BC","BC",31,10
2020-09-02,"AB","AB",50,10
2020-09-02,"ON","ON",60,13
2020-09-02,"QC","QC",89,20
2020-09-02,"NS","NS",0,0
2020-09-02,"NB","NB",0,0
2020-09-02,"MB","MB",14,1
2020-09-02,"PE","PEI",0,0
2020-09-02,"SK","SK",3,1
2020-09-02,"NL","NL",0,0
2020-09-02,"NT","NT",0,0
2020-09-02,"YT","YT",0,0
2020-09-02,"NU","NU",0,0
2020-09-04,"CAN","CAN",234,54
2020-09-04,"BC","BC",34,11
2020-09-04,"AB","AB",46,9
2020-09-04,"ON","ON",60,12
2020-09-04,"QC","QC",80,20
2020-09-04,"NS","NS",0,0
2020-09-04,"NB","NB",0,0
2020-09-04,"MB","MB",12,1
2020-09-04,"PE","PEI",0,0
2020-09-04,"SK","SK",2,1
2020-09-04,"NL","NL",0,0
2020-09-04,"NT","NT",0,0
2020-09-04,"YT","YT",0,0
2020-09-04,"NU","NU",0,0
2020-09-08,"CAN","CAN",236,57
2020-09-08,"BC","BC",31,12
2020-09-08,"AB","AB",47,9
2020-09-08,"ON","ON",54,17
2020-09-08,"QC","QC",90,15
2020-09-08,"NS","NS",0,0
2020-09-08,"NB","NB",0,0
2020-09-08,"MB","MB",13,3
2020-09-08,"PE","PEI",0,0
2020-09-08,"SK","SK",1,1
2020-09-08,"NL","NL",0,0
2020-09-08,"NT","NT",0,0
2020-09-08,"YT","YT",0,0
2020-09-08,"NU","NU",0,0
2020-09-10,"CAN","CAN",256,52
2020-09-10,"BC","BC",37,15
2020-09-10,"AB","AB",45,7
2020-09-10,"ON","ON",54,14
2020-09-10,"QC","QC",107,12
2020-09-10,"NS","NS",0,0
2020-09-10,"NB","NB",0,0
2020-09-10,"MB","MB",12,3
2020-09-10,"PE","PEI",0,0
2020-09-10,"SK","SK",1,1
2020-09-10,"NL","NL",0,0
2020-09-10,"NT","NT",0,0
2020-09-10,"YT","YT",0,0
2020-09-10,"NU","NU",0,0
2020-09-11,"CAN","CAN",259,53
2020-09-11,"BC","BC",32,12
2020-09-11,"AB","AB",43,7
2020-09-11,"ON","ON",49,18
2020-09-11,"QC","QC",123,12
2020-09-11,"NS","NS",0,0
2020-09-11,"NB","NB",0,0
2020-09-11,"MB","MB",11,3
2020-09-11,"PE","PEI",0,0
2020-09-11,"SK","SK",1,1
2020-09-11,"NL","NL",0,0
2020-09-11,"NT","NT",0,0
2020-09-11,"YT","YT",0,0
2020-09-11,"NU","NU",0,0
2020-09-14,"CAN","CAN",259,55
2020-09-14,"BC","BC",49,10
2020-09-14,"AB","AB",41,6
2020-09-14,"ON","ON",47,17
2020-09-14,"QC","QC",105,19
2020-09-14,"NS","NS",0,0
2020-09-14,"NB","NB",0,0
2020-09-14,"MB","MB",15,3
2020-09-14,"PE","PEI",0,0
2020-09-14,"SK","SK",2,0
2020-09-14,"NL","NL",0,0
2020-09-14,"NT","NT",0,0
2020-09-14,"YT","YT",0,0
2020-09-14,"NU","NU",0,0
2020-09-16,"CAN","CAN",263,76
2020-09-16,"BC","BC",63,20
2020-09-16,"AB","AB",39,7
2020-09-16,"ON","ON",44,20
2020-09-16,"QC","QC",104,26
2020-09-16,"NS","NS",0,0
2020-09-16,"NB","NB",0,0
2020-09-16,"MB","MB",9,3
2020-09-16,"PE","PEI",0,0
2020-09-16,"SK","SK",4,0
2020-09-16,"NL","NL",0,0
2020-09-16,"NT","NT",0,0
2020-09-16,"YT","YT",0,0
2020-09-16,"NU","NU",0,0
2020-09-18,"CAN","CAN",277,82
2020-09-18,"BC","BC",57,22
2020-09-18,"AB","AB",41,8
2020-09-18,"ON","ON",58,20
2020-09-18,"QC","QC",106,30
2020-09-18,"NS","NS",0,0
2020-09-18,"NB","NB",0,0
2020-09-18,"MB","MB",10,2
2020-09-18,"PE","PEI",0,0
2020-09-18,"SK","SK",5,0
2020-09-18,"NL","NL",0,0
2020-09-18,"NT","NT",0,0
2020-09-18,"YT","YT",0,0
2020-09-18,"NU","NU",0,0
2020-09-21,"CAN","CAN",296,86
2020-09-21,"BC","BC",59,20
2020-09-21,"AB","AB",44,7
2020-09-21,"ON","ON",65,22
2020-09-21,"QC","QC",107,33
2020-09-21,"NS","NS",0,0
2020-09-21,"NB","NB",0,0
2020-09-21,"MB","MB",11,3
2020-09-21,"PE","PEI",0,0
2020-09-21,"SK","SK",10,1
2020-09-21,"NL","NL",0,0
2020-09-21,"NT","NT",0,0
2020-09-21,"YT","YT",0,0
2020-09-21,"NU","NU",0,0
2020-09-23,"CAN","CAN",366,88
2020-09-23,"BC","BC",61,22
2020-09-23,"AB","AB",51,9
2020-09-23,"ON","ON",88,24
2020-09-23,"QC","QC",148,30
2020-09-23,"NS","NS",1,0
2020-09-23,"NB","NB",0,0
2020-09-23,"MB","MB",8,2
2020-09-23,"PE","PEI",0,0
2020-09-23,"SK","SK",9,1
2020-09-23,"NL","NL",0,0
2020-09-23,"NT","NT",0,0
2020-09-23,"YT","YT",0,0
2020-09-23,"NU","NU",0,0
2020-09-25,"CAN","CAN",378,97
2020-09-25,"BC","BC",61,20
2020-09-25,"AB","AB",58,14
2020-09-25,"ON","ON",87,25
2020-09-25,"QC","QC",153,31
2020-09-25,"NS","NS",0,1
2020-09-25,"NB","NB",0,0
2020-09-25,"MB","MB",11,6
2020-09-25,"PE","PEI",0,0
2020-09-25,"SK","SK",8,0
2020-09-25,"NL","NL",0,0
2020-09-25,"NT","NT",0,0
2020-09-25,"YT","YT",0,0
2020-09-25,"NU","NU",0,0
2020-09-28,"CAN","CAN",441,110
2020-09-28,"BC","BC",62,19
2020-09-28,"AB","AB",56,14
2020-09-28,"ON","ON",128,29
2020-09-28,"QC","QC",175,41
2020-09-28,"NS","NS",0,1
2020-09-28,"NB","NB",0,0
2020-09-28,"MB","MB",13,6
2020-09-28,"PE","PEI",0,0
2020-09-28,"SK","SK",7,0
2020-09-28,"NL","NL",0,0
2020-09-28,"NT","NT",0,0
2020-09-28,"YT","YT",0,0
2020-09-28,"NU","NU",0,0
2020-09-30,"CAN","CAN",497,115
2020-09-30,"BC","BC",69,22
2020-09-30,"AB","AB",63,13
2020-09-30,"ON","ON",137,30
2020-09-30,"QC","QC",206,41
2020-09-30,"NS","NS",0,1
2020-09-30,"NB","NB",0,0
2020-09-30,"MB","MB",14,8
2020-09-30,"PE","PEI",0,0
2020-09-30,"SK","SK",8,0
2020-09-30,"NL","NL",0,0
2020-09-30,"NT","NT",0,0
2020-09-30,"YT","YT",0,0
2020-09-30,"NU","NU",0,0
2020-10-02,"CAN","CAN",575,126
2020-10-02,"BC","BC",69,19
2020-10-02,"AB","AB",64,12
2020-10-02,"ON","ON",167,38
2020-10-02,"QC","QC",253,49
2020-10-02,"NS","NS",0,1
2020-10-02,"NB","NB",0,0
2020-10-02,"MB","MB",15,7
2020-10-02,"PE","PEI",0,0
2020-10-02,"SK","SK",7,0
2020-10-02,"NL","NL",0,0
2020-10-02,"NT","NT",0,0
2020-10-02,"YT","YT",0,0
2020-10-02,"NU","NU",0,0
2020-10-05,"CAN","CAN",599,148
2020-10-05,"BC","BC",69,19
2020-10-05,"AB","AB",64,15
2020-10-05,"ON","ON",176,43
2020-10-05,"QC","QC",270,64
2020-10-05,"NS","NS",0,1
2020-10-05,"NB","NB",0,0
2020-10-05,"MB","MB",20,5
2020-10-05,"PE","PEI",0,0
2020-10-05,"SK","SK",0,1
2020-10-05,"NL","NL",0,0
2020-10-05,"NT","NT",0,0
2020-10-05,"YT","YT",0,0
2020-10-05,"NU","NU",0,0
2020-10-07,"CAN","CAN",703,143
2020-10-07,"BC","BC",71,16
2020-10-07,"AB","AB",61,13
2020-10-07,"ON","ON",195,43
2020-10-07,"QC","QC",347,62
2020-10-07,"NS","NS",0,1
2020-10-07,"NB","NB",0,0
2020-10-07,"MB","MB",28,7
2020-10-07,"PE","PEI",0,0
2020-10-07,"SK","SK",1,1
2020-10-07,"NL","NL",0,0
2020-10-07,"NT","NT",0,0
2020-10-07,"YT","YT",0,0
2020-10-07,"NU","NU",0,0
2020-10-09,"CAN","CAN",750,154
2020-10-09,"BC","BC",76,17
2020-10-09,"AB","AB",77,13
2020-10-09,"ON","ON",206,47
2020-10-09,"QC","QC",357,68
2020-10-09,"NS","NS",0,1
2020-10-09,"NB","NB",3,1
2020-10-09,"MB","MB",25,6
2020-10-09,"PE","PEI",0,0
2020-10-09,"SK","SK",6,1
2020-10-09,"NL","NL",0,0
2020-10-09,"NT","NT",0,0
2020-10-09,"YT","YT",0,0
2020-10-09,"NU","NU",0,0
2020-10-13,"CAN","CAN",803,172
2020-10-13,"BC","BC",68,19
2020-10-13,"AB","AB",86,11
2020-10-13,"ON","ON",230,60
2020-10-13,"QC","QC",382,75
2020-10-13,"NS","NS",0,1
2020-10-13,"NB","NB",5,1
2020-10-13,"MB","MB",25,4
2020-10-13,"PE","PEI",0,0
2020-10-13,"SK","SK",7,1
2020-10-13,"NL","NL",0,0
2020-10-13,"NT","NT",0,0
2020-10-13,"YT","YT",0,0
2020-10-13,"NU","NU",0,0
2020-10-15,"CAN","CAN",861,188
2020-10-15,"BC","BC",84,24
2020-10-15,"AB","AB",100,14
2020-10-15,"ON","ON",231,64
2020-10-15,"QC","QC",408,80
2020-10-15,"NS","NS",0,1
2020-10-15,"NB","NB",5,1
2020-10-15,"MB","MB",27,3
2020-10-15,"PE","PEI",0,0
2020-10-15,"SK","SK",6,1
2020-10-15,"NL","NL",0,0
2020-10-15,"NT","NT",0,0
2020-10-15,"YT","YT",0,0
2020-10-15,"NU","NU",0,0
2020-10-19,"CAN","CAN",919,205
2020-10-19,"BC","BC",72,26
2020-10-19,"AB","AB",117,11
2020-10-19,"ON","ON",247,71
2020-10-19,"QC","QC",439,88
2020-10-19,"NS","NS",0,0
2020-10-19,"NB","NB",3,1
2020-10-19,"MB","MB",29,6
2020-10-19,"PE","PEI",0,0
2020-10-19,"SK","SK",12,2
2020-10-19,"NL","NL",0,0
2020-10-19,"NT","NT",0,0
2020-10-19,"YT","YT",0,0
2020-10-19,"NU","NU",0,0
2020-10-21,"CAN","CAN",977,215
2020-10-21,"BC","BC",69,18
2020-10-21,"AB","AB",116,16
2020-10-21,"ON","ON",274,72
2020-10-21,"QC","QC",465,100
2020-10-21,"NS","NS",0,0
2020-10-21,"NB","NB",3,1
2020-10-21,"MB","MB",32,6
2020-10-21,"PE","PEI",0,0
2020-10-21,"SK","SK",18,2
2020-10-21,"NL","NL",0,0
2020-10-21,"NT","NT",0,0
2020-10-21,"YT","YT",0,0
2020-10-21,"NU","NU",0,0
2020-10-23,"CAN","CAN",973,229
2020-10-23,"BC","BC",71,24
2020-10-23,"AB","AB",112,18
2020-10-23,"ON","ON",270,74
2020-10-23,"QC","QC",452,101
2020-10-23,"NS","NS",0,0
2020-10-23,"NB","NB",5,1
2020-10-23,"MB","MB",42,8
2020-10-23,"PE","PEI",0,0
2020-10-23,"SK","SK",21,3
2020-10-23,"NL","NL",0,0
2020-10-23,"NT","NT",0,0
2020-10-23,"YT","YT",0,0
2020-10-23,"NU","NU",0,0
2020-10-26,"CAN","CAN",1042,232
2020-10-26,"BC","BC",75,24
2020-10-26,"AB","AB",112,14
2020-10-26,"ON","ON",295,78
2020-10-26,"QC","QC",454,97
2020-10-26,"NS","NS",0,0
2020-10-26,"NB","NB",4,0
2020-10-26,"MB","MB",77,15
2020-10-26,"PE","PEI",0,0
2020-10-26,"SK","SK",25,4
2020-10-26,"NL","NL",0,0
2020-10-26,"NT","NT",0,0
2020-10-26,"YT","YT",0,0
2020-10-26,"NU","NU",0,0
2020-10-28,"CAN","CAN",1162,228
2020-10-28,"BC","BC",84,27
2020-10-28,"AB","AB",123,16
2020-10-28,"ON","ON",312,71
2020-10-28,"QC","QC",526,89
2020-10-28,"NS","NS",0,0
2020-10-28,"NB","NB",4,0
2020-10-28,"MB","MB",89,19
2020-10-28,"PE","PEI",0,0
2020-10-28,"SK","SK",24,6
2020-10-28,"NL","NL",0,0
2020-10-28,"NT","NT",0,0
2020-10-28,"YT","YT",0,0
2020-10-28,"NU","NU",0,0
2020-10-30,"CAN","CAN",1160,218
2020-10-30,"BC","BC",86,24
2020-10-30,"AB","AB",130,18
2020-10-30,"ON","ON",314,75
2020-10-30,"QC","QC",509,78
2020-10-30,"NS","NS",0,0
2020-10-30,"NB","NB",4,0
2020-10-30,"MB","MB",97,17
2020-10-30,"PE","PEI",0,0
2020-10-30,"SK","SK",20,6
2020-10-30,"NL","NL",0,0
2020-10-30,"NT","NT",0,0
2020-10-30,"YT","YT",0,0
2020-10-30,"NU","NU",0,0
2020-11-02,"CAN","CAN",1208,234
2020-11-02,"BC","BC",86,24
2020-11-02,"AB","AB",140,25
2020-11-02,"ON","ON",328,75
2020-11-02,"QC","QC",496,84
2020-11-02,"NS","NS",0,0
2020-11-02,"NB","NB",5,1
2020-11-02,"MB","MB",120,18
2020-11-02,"PE","PEI",0,0
2020-11-02,"SK","SK",33,7
2020-11-02,"NL","NL",0,0
2020-11-02,"NT","NT",0,0
2020-11-02,"YT","YT",0,0
2020-11-02,"NU","NU",0,0
2020-11-04,"CAN","CAN",1346,248
2020-11-04,"BC","BC",92,25
2020-11-04,"AB","AB",164,30
2020-11-04,"ON","ON",381,86
2020-11-04,"QC","QC",538,82
2020-11-04,"NS","NS",0,0
2020-11-04,"NB","NB",5,0
2020-11-04,"MB","MB",140,21
2020-11-04,"PE","PEI",0,0
2020-11-04,"SK","SK",26,4
2020-11-04,"NL","NL",0,0
2020-11-04,"NT","NT",0,0
2020-11-04,"YT","YT",0,0
2020-11-04,"NU","NU",0,0
2020-11-06,"CAN","CAN",1370,238
2020-11-06,"BC","BC",97,24
2020-11-06,"AB","AB",164,30
2020-11-06,"ON","ON",380,86
2020-11-06,"QC","QC",539,77
2020-11-06,"NS","NS",0,0
2020-11-06,"NB","NB",5,0
2020-11-06,"MB","MB",153,16
2020-11-06,"PE","PEI",0,0
2020-11-06,"SK","SK",32,5
2020-11-06,"NL","NL",0,0
2020-11-06,"NT","NT",0,0
2020-11-06,"YT","YT",0,0
2020-11-06,"NU","NU",0,0
2020-11-09,"CAN","CAN",1371,253
2020-11-09,"BC","BC",104,28
2020-11-09,"AB","AB",164,30
2020-11-09,"ON","ON",367,84
2020-11-09,"QC","QC",540,76
2020-11-09,"NS","NS",0,0
2020-11-09,"NB","NB",2,0
2020-11-09,"MB","MB",162,28
2020-11-09,"PE","PEI",0,0
2020-11-09,"SK","SK",32,7
2020-11-09,"NL","NL",0,0
2020-11-09,"NT","NT",0,0
2020-11-09,"YT","YT",0,0
2020-11-09,"NU","NU",0,0
2020-11-11,"CAN","CAN",1558,294
2020-11-11,"BC","BC",142,46
2020-11-11,"AB","AB",207,43
2020-11-11,"ON","ON",422,82
2020-11-11,"QC","QC",534,82
2020-11-11,"NS","NS",0,0
2020-11-11,"NB","NB",2,0
2020-11-11,"MB","MB",207,30
2020-11-11,"PE","PEI",0,0
2020-11-11,"SK","SK",44,11
2020-11-11,"NL","NL",0,0
2020-11-11,"NT","NT",0,0
2020-11-11,"YT","YT",0,0
2020-11-11,"NU","NU",0,0
2020-11-13,"CAN","CAN",1692,334
2020-11-13,"BC","BC",155,44
2020-11-13,"AB","AB",225,51
2020-11-13,"ON","ON",452,106
2020-11-13,"QC","QC",583,85
2020-11-13,"NS","NS",0,0
2020-11-13,"NB","NB",1,1
2020-11-13,"MB","MB",227,34
2020-11-13,"PE","PEI",0,0
2020-11-13,"SK","SK",49,13
2020-11-13,"NL","NL",0,0
2020-11-13,"NT","NT",0,0
2020-11-13,"YT","YT",0,0
2020-11-13,"NU","NU",0,0
2020-11-16,"CAN","CAN",1783,374
2020-11-16,"BC","BC",167,50
2020-11-16,"AB","AB",240,54
2020-11-16,"ON","ON",500,125
2020-11-16,"QC","QC",591,87
2020-11-16,"NS","NS",0,0
2020-11-16,"NB","NB",2,1
2020-11-16,"MB","MB",220,41
2020-11-16,"PE","PEI",0,0
2020-11-16,"SK","SK",62,16
2020-11-16,"NL","NL",1,0
2020-11-16,"NT","NT",0,0
2020-11-16,"YT","YT",0,0
2020-11-16,"NU","NU",0,0
2020-11-18,"CAN","CAN",1951,444
2020-11-18,"BC","BC",198,63
2020-11-18,"AB","AB",268,57
2020-11-18,"ON","ON",535,127
2020-11-18,"QC","QC",638,100
2020-11-18,"NS","NS",0,0
2020-11-18,"NB","NB",0,0
2020-11-18,"MB","MB",240,41
2020-11-18,"PE","PEI",0,0
2020-11-18,"SK","SK",71,56
2020-11-18,"NL","NL",1,0
2020-11-18,"NT","NT",0,0
2020-11-18,"YT","YT",0,0
2020-11-18,"NU","NU",0,0
2020-11-20,"CAN","CAN",2027,431
2020-11-20,"BC","BC",217,59
2020-11-20,"AB","AB",284,61
2020-11-20,"ON","ON",526,146
2020-11-20,"QC","QC",651,101
2020-11-20,"NS","NS",1,0
2020-11-20,"NB","NB",0,0
2020-11-20,"MB","MB",263,43
2020-11-20,"PE","PEI",0,0
2020-11-20,"SK","SK",83,21
2020-11-20,"NL","NL",2,0
2020-11-20,"NT","NT",0,0
2020-11-20,"YT","YT",0,0
2020-11-20,"NU","NU",0,0
2020-11-23,"CAN","CAN",2040,438
2020-11-23,"BC","BC",227,57
2020-11-23,"AB","AB",319,60
2020-11-23,"ON","ON",484,147
2020-11-23,"QC","QC",642,103
2020-11-23,"NS","NS",0,0
2020-11-23,"NB","NB",0,0
2020-11-23,"MB","MB",288,52
2020-11-23,"PE","PEI",0,0
2020-11-23,"SK","SK",80,19
2020-11-23,"NL","NL",0,0
2020-11-23,"NT","NT",0,0
2020-11-23,"YT","YT",0,0
2020-11-23,"NU","NU",0,0
2020-11-25,"CAN","CAN",2219,449
2020-11-25,"BC","BC",284,61
2020-11-25,"AB","AB",348,66
2020-11-25,"ON","ON",523,159
2020-11-25,"QC","QC",655,93
2020-11-25,"NS","NS",0,0
2020-11-25,"NB","NB",1,0
2020-11-25,"MB","MB",303,50
2020-11-25,"PE","PEI",0,0
2020-11-25,"SK","SK",105,20
2020-11-25,"NL","NL",0,0
2020-11-25,"NT","NT",0,0
2020-11-25,"YT","YT",0,0
2020-11-25,"NU","NU",0,0
2020-11-27,"CAN","CAN",2321,450
2020-11-27,"BC","BC",294,64
2020-11-27,"AB","AB",383,84
2020-11-27,"ON","ON",541,151
2020-11-27,"QC","QC",669,90
2020-11-27,"NS","NS",0,0
2020-11-27,"NB","NB",1,0
2020-11-27,"MB","MB",322,45
2020-11-27,"PE","PEI",0,0
2020-11-27,"SK","SK",111,16
2020-11-27,"NL","NL",0,0
2020-11-27,"NT","NT",0,0
2020-11-27,"YT","YT",0,0
2020-11-27,"NU","NU",0,0
2020-11-30,"CAN","CAN",2513,492
2020-11-30,"BC","BC",301,69
2020-11-30,"AB","AB",435,95
2020-11-30,"ON","ON",618,168
2020-11-30,"QC","QC",693,94
2020-11-30,"NS","NS",0,0
2020-11-30,"NB","NB",1,0
2020-11-30,"MB","MB",342,43
2020-11-30,"PE","PEI",0,0
2020-11-30,"SK","SK",123,23
2020-11-30,"NL","NL",0,0
2020-11-30,"NT","NT",0,0
2020-11-30,"YT","YT",0,0
2020-11-30,"NU","NU",0,0
2020-12-02,"CAN","CAN",2683,530
2020-12-02,"BC","BC",336,76
2020-12-02,"AB","AB",479,97
2020-12-02,"ON","ON",656,183
2020-12-02,"QC","QC",740,99
2020-12-02,"NS","NS",0,0
2020-12-02,"NB","NB",0,0
2020-12-02,"MB","MB",351,51
2020-12-02,"PE","PEI",0,0
2020-12-02,"SK","SK",121,24
2020-12-02,"NL","NL",0,0
2020-12-02,"NT","NT",0,0
2020-12-02,"YT","YT",0,0
2020-12-02,"NU","NU",0,0
2020-12-07,"CAN","CAN",2968,565
2020-12-07,"BC","BC",338,76
2020-12-07,"AB","AB",601,100
2020-12-07,"ON","ON",725,213
2020-12-07,"QC","QC",818,105
2020-12-07,"NS","NS",0,0
2020-12-07,"NB","NB",3,2
2020-12-07,"MB","MB",348,43
2020-12-07,"PE","PEI",0,0
2020-12-07,"SK","SK",135,26
2020-12-07,"NL","NL",0,0
2020-12-07,"NT","NT",0,0
2020-12-07,"YT","YT",0,0
2020-12-07,"NU","NU",0,0
2020-12-09,"CAN","CAN",3108,596
2020-12-09,"BC","BC",352,74
2020-12-09,"AB","AB",654,112
2020-12-09,"ON","ON",811,221
2020-12-09,"QC","QC",844,121
2020-12-09,"NS","NS",0,0
2020-12-09,"NB","NB",3,3
2020-12-09,"MB","MB",300,38
2020-12-09,"PE","PEI",0,0
2020-12-09,"SK","SK",144,27
2020-12-09,"NL","NL",0,0
2020-12-09,"NT","NT",0,0
2020-12-09,"YT","YT",0,0
2020-12-09,"NU","NU",0,0
2020-12-11,"CAN","CAN",3145,617
2020-12-11,"BC","BC",346,75
2020-12-11,"AB","AB",682,124
2020-12-11,"ON","ON",829,228
2020-12-11,"QC","QC",848,113
2020-12-11,"NS","NS",0,0
2020-12-11,"NB","NB",4,3
2020-12-11,"MB","MB",298,43
2020-12-11,"PE","PEI",0,0
2020-12-11,"SK","SK",138,31
2020-12-11,"NL","NL",0,0
2020-12-11,"NT","NT",0,0
2020-12-11,"YT","YT",0,0
2020-12-11,"NU","NU",0,0
2020-12-14,"CAN","CAN",3194,657
2020-12-14,"BC","BC",342,87
2020-12-14,"AB","AB",681,136
2020-12-14,"ON","ON",857,244
2020-12-14,"QC","QC",890,122
2020-12-14,"NS","NS",0,0
2020-12-14,"NB","NB",3,2
2020-12-14,"MB","MB",304,43
2020-12-14,"PE","PEI",0,0
2020-12-14,"SK","SK",117,23
2020-12-14,"NL","NL",0,0
2020-12-14,"NT","NT",0,0
2020-12-14,"YT","YT",0,0
2020-12-14,"NU","NU",0,0
2020-12-16,"CAN","CAN",3421,676
2020-12-16,"BC","BC",361,93
2020-12-16,"AB","AB",742,137
2020-12-16,"ON","ON",921,249
2020-12-16,"QC","QC",959,125
2020-12-16,"NS","NS",0,0
2020-12-16,"NB","NB",3,2
2020-12-16,"MB","MB",311,44
2020-12-16,"PE","PEI",0,0
2020-12-16,"SK","SK",124,26
2020-12-16,"NL","NL",0,0
2020-12-16,"NT","NT",0,0
2020-12-16,"YT","YT",0,0
2020-12-16,"NU","NU",0,0
2020-12-18,"CAN","CAN",3486,694
2020-12-18,"BC","BC",358,93
2020-12-18,"AB","AB",763,138
2020-12-18,"ON","ON",919,263
2020-12-18,"QC","QC",1002,134
2020-12-18,"NS","NS",0,0
2020-12-18,"NB","NB",3,2
2020-12-18,"MB","MB",314,42
2020-12-18,"PE","PEI",0,0
2020-12-18,"SK","SK",126,22
2020-12-18,"NL","NL",1,0
2020-12-18,"NT","NT",0,0
2020-12-18,"YT","YT",0,0
2020-12-18,"NU","NU",0,0
2020-12-21,"CAN","CAN",3508,715
2020-12-21,"BC","BC",356,92
2020-12-21,"AB","AB",760,149
2020-12-21,"ON","ON",915,265
2020-12-21,"QC","QC",1048,146
2020-12-21,"NS","NS",0,0
2020-12-21,"NB","NB",3,1
2020-12-21,"MB","MB",302,43
2020-12-21,"PE","PEI",0,0
2020-12-21,"SK","SK",123,19
2020-12-21,"NL","NL",1,0
2020-12-21,"NT","NT",0,0
2020-12-21,"YT","YT",0,0
2020-12-21,"NU","NU",0,0
2020-12-23,"CAN","CAN",3630,711
2020-12-23,"BC","BC",357,84
2020-12-23,"AB","AB",802,152
2020-12-23,"ON","ON",1002,275
2020-12-23,"QC","QC",1067,142
2020-12-23,"NS","NS",0,0
2020-12-23,"NB","NB",2,1
2020-12-23,"MB","MB",275,36
2020-12-23,"PE","PEI",0,0
2020-12-23,"SK","SK",124,21
2020-12-23,"NL","NL",1,0
2020-12-23,"NT","NT",0,0
2020-12-23,"YT","YT",0,0
2020-12-23,"NU","NU",0,0
2021-01-04,"CAN","CAN",4273,829
2021-01-04,"BC","BC",374,76
2021-01-04,"AB","AB",921,152
2021-01-04,"ON","ON",1190,333
2021-01-04,"QC","QC",1294,188
2021-01-04,"NS","NS",1,0
2021-01-04,"NB","NB",1,1
2021-01-04,"MB","MB",339,41
2021-01-04,"PE","PEI",0,0
2021-01-04,"SK","SK",152,38
2021-01-04,"NL","NL",1,0
2021-01-04,"NT","NT",0,0
2021-01-04,"YT","YT",0,0
2021-01-04,"NU","NU",0,0
2021-01-06,"CAN","CAN",4645,847
2021-01-06,"BC","BC",367,77
2021-01-06,"AB","AB",919,140
2021-01-06,"ON","ON",1463,361
2021-01-06,"QC","QC",1393,202
2021-01-06,"NS","NS",0,0
2021-01-06,"NB","NB",1,1
2021-01-06,"MB","MB",329,37
2021-01-06,"PE","PEI",0,0
2021-01-06,"SK","SK",172,29
2021-01-06,"NL","NL",1,0
2021-01-06,"NT","NT",0,0
2021-01-06,"YT","YT",0,0
2021-01-06,"NU","NU",0,0
2021-01-08,"CAN","CAN",4592,843
2021-01-08,"BC","BC",372,74
2021-01-08,"AB","AB",871,139
2021-01-08,"ON","ON",1472,363
2021-01-08,"QC","QC",1380,202
2021-01-08,"NS","NS",0,0
2021-01-08,"NB","NB",1,1
2021-01-08,"MB","MB",319,35
2021-01-08,"PE","PEI",0,0
2021-01-08,"SK","SK",176,29
2021-01-08,"NL","NL",1,0
2021-01-08,"NT","NT",0,0
2021-01-08,"YT","YT",0,0
2021-01-08,"NU","NU",0,0
2021-01-11,"CAN","CAN",4517,860
2021-01-11,"BC","BC",358,75
2021-01-11,"AB","AB",794,128
2021-01-11,"ON","ON",1483,388
2021-01-11,"QC","QC",1380,203
2021-01-11,"NS","NS",0,0
2021-01-11,"NB","NB",0,0
2021-01-11,"MB","MB",322,36
2021-01-11,"PE","PEI",0,0
2021-01-11,"SK","SK",179,30
2021-01-11,"NL","NL",1,0
2021-01-11,"NT","NT",0,0
2021-01-11,"YT","YT",0,0
2021-01-11,"NU","NU",0,0
2021-01-13,"CAN","CAN",4850,874
2021-01-13,"BC","BC",368,72
2021-01-13,"AB","AB",819,132
2021-01-13,"ON","ON",1701,385
2021-01-13,"QC","QC",1497,221
2021-01-13,"NS","NS",0,0
2021-01-13,"NB","NB",0,0
2021-01-13,"MB","MB",302,35
2021-01-13,"PE","PEI",0,0
2021-01-13,"SK","SK",162,29
2021-01-13,"NL","NL",1,0
2021-01-13,"NT","NT",0,0
2021-01-13,"YT","YT",0,0
2021-01-13,"NU","NU",0,0
2021-01-18,"CAN","CAN",4643,870
2021-01-18,"BC","BC",349,68
2021-01-18,"AB","AB",738,123
2021-01-18,"ON","ON",1571,394
2021-01-18,"QC","QC",1491,217
2021-01-18,"NS","NS",0,0
2021-01-18,"NB","NB",1,0
2021-01-18,"MB","MB",289,35
2021-01-18,"PE","PEI",0,0
2021-01-18,"SK","SK",203,33
2021-01-18,"NL","NL",1,0
2021-01-18,"NT","NT",0,0
2021-01-18,"YT","YT",0,0
2021-01-18,"NU","NU",0,0
2021-01-20,"CAN","CAN",4591,868
2021-01-20,"BC","BC",329,70
2021-01-20,"AB","AB",740,119
2021-01-20,"ON","ON",1598,395
2021-01-20,"QC","QC",1467,216
2021-01-20,"NS","NS",0,0
2021-01-20,"NB","NB",1,0
2021-01-20,"MB","MB",279,37
2021-01-20,"PE","PEI",0,0
2021-01-20,"SK","SK",176,31
2021-01-20,"NL","NL",1,0
2021-01-20,"NT","NT",0,0
2021-01-20,"YT","YT",0,0
2021-01-20,"NU","NU",0,0
2021-01-22,"CAN","CAN",4442,849
