"date","source","date_start","date_end","region","sub_region_1","cases","cases_previous_week","deaths","tests_completed","active_hospitalizations","active_hospitalizations_previous_week","active_icu","active_icu_previous_week","average_daily_new_hospitalizations_past_7_days","average_daily_new_hospitalizations_past_7_days_previous_week"
"2022-02-24","https://publications.saskatchewan.ca/api/v1/products/116896/formats/133771/download","2022-02-13","2022-02-19","SK","Far North Central",2,,0,,,,,,,
"2022-02-24","https://publications.saskatchewan.ca/api/v1/products/116896/formats/133771/download","2022-02-13","2022-02-19","SK","Far North East",34,,0,,,,,,,
"2022-02-24","https://publications.saskatchewan.ca/api/v1/products/116896/formats/133771/download","2022-02-13","2022-02-19","SK","North West",88,,1,,,,,,,
"2022-02-24","https://publications.saskatchewan.ca/api/v1/products/116896/formats/133771/download","2022-02-13","2022-02-19","SK","North Central",101,,9,,,,,,,
"2022-02-24","https://publications.saskatchewan.ca/api/v1/products/116896/formats/133771/download","2022-02-13","2022-02-19","SK","North East",41,,2,,,,,,,
"2022-02-24","https://publications.saskatchewan.ca/api/v1/products/116896/formats/133771/download","2022-02-13","2022-02-19","SK","Saskatoon",237,,6,,,,,,,
"2022-02-24","https://publications.saskatchewan.ca/api/v1/products/116896/formats/133771/download","2022-02-13","2022-02-19","SK","Central West",34,,0,,,,,,,
"2022-02-24","https://publications.saskatchewan.ca/api/v1/products/116896/formats/133771/download","2022-02-13","2022-02-19","SK","Central East",123,,4,,,,,,,
"2022-02-24","https://publications.saskatchewan.ca/api/v1/products/116896/formats/133771/download","2022-02-13","2022-02-19","SK","Regina",295,,7,,,,,,,
"2022-02-24","https://publications.saskatchewan.ca/api/v1/products/116896/formats/133771/download","2022-02-13","2022-02-19","SK","South West",49,,1,,,,,,,
"2022-02-24","https://publications.saskatchewan.ca/api/v1/products/116896/formats/133771/download","2022-02-13","2022-02-19","SK","South Central",84,,0,,,,,,,
"2022-02-24","https://publications.saskatchewan.ca/api/v1/products/116896/formats/133771/download","2022-02-13","2022-02-19","SK","South East",134,,7,,,,,,,
"2022-02-24","https://publications.saskatchewan.ca/api/v1/products/116896/formats/133771/download","2022-02-13","2022-02-19","SK","Unknown",132,,0,,,,,,,
"2022-03-03","https://publications.saskatchewan.ca/api/v1/products/116943/formats/133890/download","2022-02-20","2022-02-26","SK",,1102,,44,7833,,,,,,
"2022-03-03","https://publications.saskatchewan.ca/api/v1/products/116943/formats/133890/download","2022-02-20","2022-02-26","SK","Far North West",27,,1,,,,,,,
"2022-03-03","https://publications.saskatchewan.ca/api/v1/products/116943/formats/133890/download","2022-02-20","2022-02-26","SK","Far North Central",2,,0,,,,,,,
"2022-03-03","https://publications.saskatchewan.ca/api/v1/products/116943/formats/133890/download","2022-02-20","2022-02-26","SK","Far North East",9,,0,,,,,,,
"2022-03-03","https://publications.saskatchewan.ca/api/v1/products/116943/formats/133890/download","2022-02-20","2022-02-26","SK","North West",68,,2,,,,,,,
"2022-03-03","https://publications.saskatchewan.ca/api/v1/products/116943/formats/133890/download","2022-02-20","2022-02-26","SK","North Central",76,,11,,,,,,,
"2022-03-03","https://publications.saskatchewan.ca/api/v1/products/116943/formats/133890/download","2022-02-20","2022-02-26","SK","North East",34,,1,,,,,,,
"2022-03-03","https://publications.saskatchewan.ca/api/v1/products/116943/formats/133890/download","2022-02-20","2022-02-26","SK","Saskatoon",191,,4,,,,,,,
"2022-03-03","https://publications.saskatchewan.ca/api/v1/products/116943/formats/133890/download","2022-02-20","2022-02-26","SK","Central West",45,,2,,,,,,,
"2022-03-03","https://publications.saskatchewan.ca/api/v1/products/116943/formats/133890/download","2022-02-20","2022-02-26","SK","Central East",100,,5,,,,,,,
