"name","province","sub_region_1","date","value","value_daily"
"cases","AB",NA,2020-03-31,0,0
"cases","AB","Calgary",2020-04-01,614,62
"cases","AB","Central",2020-04-01,51,2
"cases","AB","Edmonton",2020-04-01,248,43
"cases","AB","North",2020-04-01,55,0
"cases","AB","Not Reported",2020-04-01,0,0
"cases","AB","South",2020-04-01,14,1
"cases","AB",NA,2020-04-01,0,0
"cases","AB","Calgary",2020-04-02,696,82
"cases","AB","Central",2020-04-02,55,4
"cases","AB","Edmonton",2020-04-02,276,28
"cases","AB","North",2020-04-02,60,5
"cases","AB","Not Reported",2020-04-02,0,0
"cases","AB","South",2020-04-02,17,3
"cases","AB",NA,2020-04-02,0,0
"cases","AB","Calgary",2020-04-03,743,47
"cases","AB","Central",2020-04-03,56,1
"cases","AB","Edmonton",2020-04-03,294,18
"cases","AB","North",2020-04-03,63,3
"cases","AB","Not Reported",2020-04-03,0,0
"cases","AB","South",2020-04-03,19,2
"cases","AB",NA,2020-04-03,0,0
"cases","AB","Calgary",2020-04-04,776,33
"cases","AB","Central",2020-04-04,57,1
"cases","AB","Edmonton",2020-04-04,308,14
"cases","AB","North",2020-04-04,74,11
"cases","AB","Not Reported",2020-04-04,0,0
"cases","AB","South",2020-04-04,20,1
"cases","AB",NA,2020-04-04,0,0
"cases","AB","Calgary",2020-04-05,791,15
"cases","AB","Central",2020-04-05,61,4
"cases","AB","Edmonton",2020-04-05,326,18
"cases","AB","North",2020-04-05,77,3
"cases","AB","Not Reported",2020-04-05,0,0
"cases","AB","South",2020-04-05,22,2
"cases","AB",NA,2020-04-05,0,0
"cases","AB","Calgary",2020-04-06,808,17
"cases","AB","Central",2020-04-06,61,0
"cases","AB","Edmonton",2020-04-06,336,10
"cases","AB","North",2020-04-06,83,6
"cases","AB","Not Reported",2020-04-06,0,0
"cases","AB","South",2020-04-06,23,1
"cases","AB",NA,2020-04-06,0,0
"cases","AB","Calgary",2020-04-07,833,25
"cases","AB","Central",2020-04-07,67,6
"cases","AB","Edmonton",2020-04-07,349,13
"cases","AB","North",2020-04-07,90,7
"cases","AB","Not Reported",2020-04-07,0,0
"cases","AB","South",2020-04-07,25,2
"cases","AB",NA,2020-04-07,0,0
"cases","AB","Calgary",2020-04-08,852,19
"cases","AB","Central",2020-04-08,67,0
"cases","AB","Edmonton",2020-04-08,360,11
"cases","AB","North",2020-04-08,92,2
"cases","AB","Not Reported",2020-04-08,0,0
"cases","AB","South",2020-04-08,26,1
"cases","AB",NA,2020-04-08,0,0
"cases","AB","Calgary",2020-04-09,890,38
"cases","AB","Central",2020-04-09,67,0
"cases","AB","Edmonton",2020-04-09,367,7
"cases","AB","North",2020-04-09,92,0
"cases","AB","Not Reported",2020-04-09,0,0
"cases","AB","South",2020-04-09,26,0
"cases","AB",NA,2020-04-09,0,0
"cases","AB","Calgary",2020-04-10,935,45
"cases","AB","Central",2020-04-10,67,0
"cases","AB","Edmonton",2020-04-10,369,2
"cases","AB","North",2020-04-10,94,2
"cases","AB","Not Reported",2020-04-10,0,0
"cases","AB","South",2020-04-10,26,0
"cases","AB",NA,2020-04-10,0,0
"cases","AB","Calgary",2020-04-11,986,51
"cases","AB","Central",2020-04-11,67,0
"cases","AB","Edmonton",2020-04-11,375,6
"cases","AB","North",2020-04-11,99,5
"cases","AB","Not Reported",2020-04-11,0,0
"cases","AB","South",2020-04-11,29,3
"cases","AB",NA,2020-04-11,0,0
"cases","AB","Calgary",2020-04-12,1045,59
"cases","AB","Central",2020-04-12,69,2
"cases","AB","Edmonton",2020-04-12,379,4
"cases","AB","North",2020-04-12,101,2
"cases","AB","Not Reported",2020-04-12,0,0
"cases","AB","South",2020-04-12,30,1
"cases","AB",NA,2020-04-12,0,0
"cases","AB","Calgary",2020-04-13,1109,64
"cases","AB","Central",2020-04-13,69,0
"cases","AB","Edmonton",2020-04-13,381,2
"cases","AB","North",2020-04-13,103,2
"cases","AB","Not Reported",2020-04-13,0,0
"cases","AB","South",2020-04-13,30,0
"cases","AB",NA,2020-04-13,0,0
"cases","AB","Calgary",2020-04-14,1220,111
"cases","AB","Central",2020-04-14,69,0
"cases","AB","Edmonton",2020-04-14,386,5
"cases","AB","North",2020-04-14,111,8
"cases","AB","Not Reported",2020-04-14,0,0
"cases","AB","South",2020-04-14,33,3
"cases","AB",NA,2020-04-14,0,0
"cases","AB","Calgary",2020-04-15,1322,102
"cases","AB","Central",2020-04-15,69,0
"cases","AB","Edmonton",2020-04-15,396,10
"cases","AB","North",2020-04-15,120,9
"cases","AB","Not Reported",2020-04-15,0,0
"cases","AB","South",2020-04-15,45,12
"cases","AB",NA,2020-04-15,0,0
"cases","AB","Calgary",2020-04-16,1453,131
"cases","AB","Central",2020-04-16,69,0
"cases","AB","Edmonton",2020-04-16,401,5
"cases","AB","North",2020-04-16,120,0
"cases","AB","Not Reported",2020-04-16,0,0
"cases","AB","South",2020-04-16,55,10
"cases","AB",NA,2020-04-16,0,0
"cases","AB","Calgary",2020-04-17,1634,181
"cases","AB","Central",2020-04-17,70,1
"cases","AB","Edmonton",2020-04-17,405,4
"cases","AB","North",2020-04-17,125,5
"cases","AB","Not Reported",2020-04-17,0,0
"cases","AB","South",2020-04-17,77,22
"cases","AB",NA,2020-04-17,0,0
"cases","AB","Calgary",2020-04-18,1776,142
"cases","AB","Central",2020-04-18,70,0
"cases","AB","Edmonton",2020-04-18,408,3
