"date","source","date_start","date_end","region","sub_region_1","cases","cases_weekly","cumulative_cases_since_2022-08-28","cumulative_cases_since_2022-08-28_weekly_diff","deaths","deaths_weekly","cumulative_deaths_since_2022-08-28","cumulative_deaths_since_2022-08-28_weekly_diff","new_hospitalizations","new_hospitalizations_weekly","cumulative_new_hospitalizations_since_2022-08-28","cumulative_new_hospitalizations_since_2022-08-28_weekly_diff","new_icu","new_icu_weekly","cumulative_new_icu_since_2022-08-28","cumulative_new_icu_since_2022-08-28_weekly_diff","tests_completed","tests_completed_weekly","cumulative_tests_completed_since_2022-08-28","cumulative_tests_completed_since_2022-08-28_weekly_diff"
"2023-01-17","https://www2.gnb.ca/content/dam/gnb/Departments/eco-bce/Promo/covid-19/report-rapport/covid-report-2023-week-2.pdf","2023-01-08","2023-01-14","NB",,433,433,11699,433,11,11,130,11,14,14,516,14,2,2,42,2,4161,4161,93933,4161
"2023-01-17","https://www2.gnb.ca/content/dam/gnb/Departments/eco-bce/Promo/covid-19/report-rapport/covid-report-2023-week-2.pdf","2023-01-08","2023-01-14","NB","Zone 1",152,152,,,,,,,3,3,,,0,0,,,1026,1026,,
"2023-01-17","https://www2.gnb.ca/content/dam/gnb/Departments/eco-bce/Promo/covid-19/report-rapport/covid-report-2023-week-2.pdf","2023-01-08","2023-01-14","NB","Zone 2",102,102,,,,,,,2,2,,,1,1,,,1155,1155,,
"2023-01-17","https://www2.gnb.ca/content/dam/gnb/Departments/eco-bce/Promo/covid-19/report-rapport/covid-report-2023-week-2.pdf","2023-01-08","2023-01-14","NB","Zone 3",87,87,,,,,,,2,2,,,1,1,,,928,928,,
"2023-01-17","https://www2.gnb.ca/content/dam/gnb/Departments/eco-bce/Promo/covid-19/report-rapport/covid-report-2023-week-2.pdf","2023-01-08","2023-01-14","NB","Zone 4",19,19,,,,,,,1,1,,,0,0,,,241,241,,
"2023-01-17","https://www2.gnb.ca/content/dam/gnb/Departments/eco-bce/Promo/covid-19/report-rapport/covid-report-2023-week-2.pdf","2023-01-08","2023-01-14","NB","Zone 5",23,23,,,,,,,0,0,,,0,0,,,156,156,,
"2023-01-17","https://www2.gnb.ca/content/dam/gnb/Departments/eco-bce/Promo/covid-19/report-rapport/covid-report-2023-week-2.pdf","2023-01-08","2023-01-14","NB","Zone 6",28,28,,,,,,,2,2,,,0,0,,,407,407,,
"2023-01-17","https://www2.gnb.ca/content/dam/gnb/Departments/eco-bce/Promo/covid-19/report-rapport/covid-report-2023-week-2.pdf","2023-01-08","2023-01-14","NB","Zone 7",22,22,,,,,,,4,4,,,0,0,,,248,248,,
"2023-01-24","https://www2.gnb.ca/content/dam/gnb/Departments/eco-bce/Promo/covid-19/report-rapport/covid-report-2023-week-3.pdf","2023-01-15","2023-01-21","NB",,321,321,12020,321,11,11,141,11,17,17,533,17,4,4,46,4,3524,3524,97457,3524
"2023-01-24","https://www2.gnb.ca/content/dam/gnb/Departments/eco-bce/Promo/covid-19/report-rapport/covid-report-2023-week-3.pdf","2023-01-15","2023-01-21","NB","Zone 1",95,95,,,,,,,6,6,,,2,2,,,919,919,,
"2023-01-24","https://www2.gnb.ca/content/dam/gnb/Departments/eco-bce/Promo/covid-19/report-rapport/covid-report-2023-week-3.pdf","2023-01-15","2023-01-21","NB","Zone 2",75,75,,,,,,,1,1,,,0,0,,,960,960,,
"2023-01-24","https://www2.gnb.ca/content/dam/gnb/Departments/eco-bce/Promo/covid-19/report-rapport/covid-report-2023-week-3.pdf","2023-01-15","2023-01-21","NB","Zone 3",61,61,,,,,,,2,2,,,1,1,,,769,769,,
"2023-01-24","https://www2.gnb.ca/content/dam/gnb/Departments/eco-bce/Promo/covid-19/report-rapport/covid-report-2023-week-3.pdf","2023-01-15","2023-01-21","NB","Zone 4",17,17,,,,,,,2,2,,,0,0,,,217,217,,
"2023-01-24","https://www2.gnb.ca/content/dam/gnb/Departments/eco-bce/Promo/covid-19/report-rapport/covid-report-2023-week-3.pdf","2023-01-15","2023-01-21","NB","Zone 5",13,13,,,,,,,1,1,,,0,0,,,114,114,,
"2023-01-24","https://www2.gnb.ca/content/dam/gnb/Departments/eco-bce/Promo/covid-19/report-rapport/covid-report-2023-week-3.pdf","2023-01-15","2023-01-21","NB","Zone 6",33,33,,,,,,,2,2,,,0,0,,,303,303,,
"2023-01-24","https://www2.gnb.ca/content/dam/gnb/Departments/eco-bce/Promo/covid-19/report-rapport/covid-report-2023-week-3.pdf","2023-01-15","2023-01-21","NB","Zone 7",27,27,,,,,,,3,3,,,1,1,,,242,242,,
"2023-01-31","https://www2.gnb.ca/content/dam/gnb/Departments/eco-bce/Promo/covid-19/report-rapport/covid-report-2023-week-4.pdf","2023-01-22","2023-01-28","NB",,263,263,12283,263,8,8,149,8,12,12,545,12,1,1,47,1,2188,2188,99645,2188
"2023-01-31","https://www2.gnb.ca/content/dam/gnb/Departments/eco-bce/Promo/covid-19/report-rapport/covid-report-2023-week-4.pdf","2023-01-22","2023-01-28","NB","Zone 1",67,67,,,,,,,1,1,,,0,0,,,584,584,,
"2023-01-31","https://www2.gnb.ca/content/dam/gnb/Departments/eco-bce/Promo/covid-19/report-rapport/covid-report-2023-week-4.pdf","2023-01-22","2023-01-28","NB","Zone 2",63,63,,,,,,,1,1,,,0,0,,,526,526,,
"2023-01-31","https://www2.gnb.ca/content/dam/gnb/Departments/eco-bce/Promo/covid-19/report-rapport/covid-report-2023-week-4.pdf","2023-01-22","2023-01-28","NB","Zone 3",62,62,,,,,,,3,3,,,0,0,,,463,463,,
"2023-01-31","https://www2.gnb.ca/content/dam/gnb/Departments/eco-bce/Promo/covid-19/report-rapport/covid-report-2023-week-4.pdf","2023-01-22","2023-01-28","NB","Zone 4",13,13,,,,,,,3,3,,,1,1,,,131,131,,
"2023-01-31","https://www2.gnb.ca/content/dam/gnb/Departments/eco-bce/Promo/covid-19/report-rapport/covid-report-2023-week-4.pdf","2023-01-22","2023-01-28","NB","Zone 5",12,12,,,,,,,1,1,,,0,0,,,99,99,,
"2023-01-31","https://www2.gnb.ca/content/dam/gnb/Departments/eco-bce/Promo/covid-19/report-rapport/covid-report-2023-week-4.pdf","2023-01-22","2023-01-28","NB","Zone 6",32,32,,,,,,,1,1,,,0,0,,,197,197,,
"2023-01-31","https://www2.gnb.ca/content/dam/gnb/Departments/eco-bce/Promo/covid-19/report-rapport/covid-report-2023-week-4.pdf","2023-01-22","2023-01-28","NB","Zone 7",14,14,,,,,,,2,2,,,0,0,,,188,188,,
"2023-02-07","https://www2.gnb.ca/content/dam/gnb/Departments/eco-bce/Promo/covid-19/report-rapport/covid-report-2023-week-5.pdf","2023-01-29","2023-02-04","NB",,339,339,12622,339,6,6,155,6,9,9,554,9,0,0,47,0,2154,2154,101799,2154
"2023-02-07","https://www2.gnb.ca/content/dam/gnb/Departments/eco-bce/Promo/covid-19/report-rapport/covid-report-2023-week-5.pdf","2023-01-29","2023-02-04","NB","Zone 1",86,86,,,,,,,5,5,,,0,0,,,593,593,,
"2023-02-07","https://www2.gnb.ca/content/dam/gnb/Departments/eco-bce/Promo/covid-19/report-rapport/covid-report-2023-week-5.pdf","2023-01-29","2023-02-04","NB","Zone 2",49,49,,,,,,,1,1,,,0,0,,,514,514,,
"2023-02-07","https://www2.gnb.ca/content/dam/gnb/Departments/eco-bce/Promo/covid-19/report-rapport/covid-report-2023-week-5.pdf","2023-01-29","2023-02-04","NB","Zone 3",70,70,,,,,,,0,0,,,0,0,,,399,399,,
"2023-02-07","https://www2.gnb.ca/content/dam/gnb/Departments/eco-bce/Promo/covid-19/report-rapport/covid-report-2023-week-5.pdf","2023-01-29","2023-02-04","NB","Zone 4",18,18,,,,,,,2,2,,,0,0,,,124,124,,
"2023-02-07","https://www2.gnb.ca/content/dam/gnb/Departments/eco-bce/Promo/covid-19/report-rapport/covid-report-2023-week-5.pdf","2023-01-29","2023-02-04","NB","Zone 5",32,32,,,,,,,0,0,,,0,0,,,162,162,,
"2023-02-07","https://www2.gnb.ca/content/dam/gnb/Departments/eco-bce/Promo/covid-19/report-rapport/covid-report-2023-week-5.pdf","2023-01-29","2023-02-04","NB","Zone 6",67,67,,,,,,,1,1,,,0,0,,,224,224,,
"2023-02-07","https://www2.gnb.ca/content/dam/gnb/Departments/eco-bce/Promo/covid-19/report-rapport/covid-report-2023-week-5.pdf","2023-01-29","2023-02-04","NB","Zone 7",17,17,,,,,,,0,0,,,0,0,,,138,138,,
"2023-02-14","https://www2.gnb.ca/content/dam/gnb/Departments/eco-bce/Promo/covid-19/report-rapport/covid-report-2023-week-6.pdf","2023-02-05","2023-02-11","NB",,379,379,13001,379,9,9,164,9,10,10,564,10,3,3,50,3,2245,2245,104044,2245
