"date","source","date_start","date_end","region","sub_region_1","active_hospitalizations","active_icu"
"2020-05-05","https://www2.gnb.ca/content/gnb/en/news/news_release.2020.05.0252.html","2020-05-05","2020-05-05","NB",,0,0
"2020-05-06","https://www2.gnb.ca/content/gnb/en/news/news_release.2020.05.0257.html","2020-05-06","2020-05-06","NB",,0,0
"2020-05-07","https://www2.gnb.ca/content/gnb/en/news/news_release.2020.05.0258.html","2020-05-07","2020-05-07","NB",,0,0
"2020-05-08","https://www2.gnb.ca/content/gnb/en/news/news_release.2020.05.0261.html","2020-05-08","2020-05-08","NB",,0,0
"2020-05-09","https://www2.gnb.ca/content/gnb/en/news/news_release.2020.05.0263.html","2020-05-09","2020-05-09","NB",,0,0
"2020-05-10","https://www2.gnb.ca/content/gnb/en/news/news_release.2020.05.0264.html","2020-05-10","2020-05-10","NB",,0,0
"2020-05-11","https://www2.gnb.ca/content/gnb/en/news/news_release.2020.05.0265.html","2020-05-11","2020-05-11","NB",,0,0
"2020-05-12","https://www2.gnb.ca/content/gnb/en/news/news_release.2020.05.0266.html","2020-05-12","2020-05-12","NB",,0,0
"2020-05-13","https://www2.gnb.ca/content/gnb/en/news/news_release.2020.05.0271.html","2020-05-13","2020-05-13","NB",,0,0
"2020-05-14","https://www2.gnb.ca/content/gnb/en/news/news_release.2020.05.0274.html","2020-05-14","2020-05-14","NB",,0,0
"2020-05-15","https://www2.gnb.ca/content/gnb/en/news/news_release.2020.05.0276.html","2020-05-15","2020-05-15","NB",,0,0
"2020-05-16","https://www2.gnb.ca/content/gnb/en/news/news_release.2020.05.0281.html","2020-05-16","2020-05-16","NB",,0,0
"2020-05-17","https://www2.gnb.ca/content/gnb/en/news/news_release.2020.05.0282.html","2020-05-17","2020-05-17","NB",,0,0
"2020-05-18","https://www2.gnb.ca/content/gnb/en/news/news_release.2020.05.0283.html","2020-05-18","2020-05-18","NB",,0,0
"2020-05-19","https://www2.gnb.ca/content/gnb/en/news/news_release.2020.05.0286.html","2020-05-19","2020-05-19","NB",,0,0
"2020-05-20","https://www2.gnb.ca/content/gnb/en/news/news_release.2020.05.0290.html","2020-05-20","2020-05-20","NB",,0,0
"2020-05-21","https://www2.gnb.ca/content/gnb/en/news/news_release.2020.05.0293.html","2020-05-21","2020-05-21","NB",,0,0
"2020-05-22","https://www2.gnb.ca/content/gnb/en/news/news_release.2020.05.0296.html","2020-05-22","2020-05-22","NB",,0,0
"2020-05-23",,"2020-05-23","2020-05-23","NB",,,
"2020-05-24",,"2020-05-24","2020-05-24","NB",,,
